Poll source,Date,Democratic candidate,%,Republican candidate,%.1,Leading by %,Sample size,Margin of error
NBC News/Wall Street Journal[404],"January 9–13, 2016",Bernie Sanders,54%,Donald Trump,39%,15,800,± 3.5%
Morning Consult[405],"January 8–10, 2016",Hillary Clinton,43%,Jeb Bush,40%,3,2173,± 2.0%
Morning Consult[405],"January 8–10, 2016",Hillary Clinton,43%,Chris Christie,39%,4,2173,± 2.0%
Morning Consult[405],"January 8–10, 2016",Hillary Clinton,42%,Ben Carson,41%,1,2173,± 2.0%
Morning Consult[405],"January 8–10, 2016",Hillary Clinton,43%,Marco Rubio,40%,3,2173,± 2.0%
Morning Consult[405],"January 8–10, 2016",Hillary Clinton,42%,Donald Trump,44%,2,2173,± 2.0%
Morning Consult[405],"January 8–10, 2016",Hillary Clinton,44%,Ted Cruz,40%,4,2173,± 2.0%
Gravis Marketing/One America News Network[406],"January 10, 2016",Hillary Clinton,49%,Donald Trump,51%,2,2416,± 2.0%
Gravis Marketing/One America News Network[406],"January 10, 2016",Hillary Clinton,50%,Jeb Bush,50%,Tied,2416,± 2.0%
Gravis Marketing/One America News Network[406],"January 10, 2016",Hillary Clinton,48%,Marco Rubio,52%,4,2416,± 2.0%
Gravis Marketing/One America News Network[406],"January 10, 2016",Hillary Clinton,49%,Rand Paul,51%,2,2416,± 2.0%
Gravis Marketing/One America News Network[406],"January 10, 2016",Hillary Clinton,50%,Ted Cruz,50%,Tied,2416,± 2.0%
Gravis Marketing/One America News Network[406],"January 10, 2016",Hillary Clinton,49%,Ben Carson,51%,2,2416,± 2.0%
Gravis Marketing/One America News Network[406],"January 10, 2016",Hillary Clinton,50%,Carly Fiorina,50%,Tied,2416,± 2.0%
Fox News[407],"January 4–7, 2016",Hillary Clinton,44%,Jeb Bush,44%,Tied,1006,3.0%
Fox News[407],"January 4–7, 2016",Hillary Clinton,44%,Donald Trump,47%,3,1006,3.0%
Fox News[407],"January 4–7, 2016",Hillary Clinton,43%,Ted Cruz,50%,7,1006,3.0%
Fox News[407],"January 4–7, 2016",Hillary Clinton,41%,Marco Rubio,50%,9,1006,3.0%
